country,residency,number,year
EL,FOR,25038498,2019
EL,FOR,24320893,2018
EL,FOR,19068697,2017
EL,FOR,16915996,2016
EL,FOR,16501709,2015
EL,FOR,15259242,2014
EL,FOR,12749395,2013
EL,FOR,11230515,2012
EL,FOR,12083938,2011
EL,FOR,10829306,2010
EL,FOR,10434050,2009
EL,FOR,8886342,2008
EL,FOR,8953757,2007
EL,FOR,7748208,2006
EL,FOR,7348706,2005
EL,FOR,6461062,2004
EL,FOR,6767976,2003
EL,FOR,6843179,2002
EL,FOR,7208307,2001
EL,FOR,8011959,2000
EL,FOR,7409755,1999
EL,FOR,7533186,1998
EL,FOR,7041480,1997
EL,FOR,6216312,1996
EL,FOR,6480579,1995
EL,FOR,6929895,1994
EL,FOR,0,1993
EL,FOR,0,1992
EL,FOR,0,1991
EL,FOR,0,1990
ES,FOR,67728098,2019
ES,FOR,65771059,2018
ES,FOR,65233045,2017
ES,FOR,61341839,2016
ES,FOR,55426615,2015
ES,FOR,52359130,2014
ES,FOR,49798884,2013
ES,FOR,48100647,2012
ES,FOR,47652545,2011
ES,FOR,43182778,2010
ES,FOR,39204146,2009
ES,FOR,43718233,2008
ES,FOR,43953113,2007
ES,FOR,43143517,2006
ES,FOR,37407150,2005
ES,FOR,36297324,2004
ES,FOR,36643766,2003
ES,FOR,36037776,2002
ES,FOR,36253366,2001
ES,FOR,36887492,2000
ES,FOR,28512625,1999
ES,FOR,21639195,1998
ES,FOR,19534596,1997
ES,FOR,18134346,1996
ES,FOR,17451921,1995
ES,FOR,16426085,1994
ES,FOR,13949083,1993
ES,FOR,13230990,1992
ES,FOR,12783140,1991
ES,FOR,12937452,1990
EL,NAT,9163555,2019
EL,NAT,9264746,2018
EL,NAT,8142571,2017
EL,NAT,8080042,2016
EL,NAT,7665265,2015
EL,NAT,7414809,2014
EL,NAT,7365859,2013
EL,NAT,6981507,2012
EL,NAT,8231659,2011
EL,NAT,9027590,2010
EL,NAT,9716816,2009
EL,NAT,7127227,2008
EL,NAT,7083835,2007
EL,NAT,6233813,2006
EL,NAT,6063890,2005
EL,NAT,5670521,2004
EL,NAT,5731833,2003
EL,NAT,5548865,2002
EL,NAT,5635054,2001
EL,NAT,5964427,2000
EL,NAT,5712211,1999
EL,NAT,5639670,1998
EL,NAT,5487403,1997
EL,NAT,4801662,1996
EL,NAT,4808192,1995
EL,NAT,4721276,1994
EL,NAT,0,1993
EL,NAT,0,1992
EL,NAT,0,1991
EL,NAT,0,1990
ES,NAT,67280725,2019
ES,NAT,65032598,2018
ES,NAT,64159337,2017
ES,NAT,62199939,2016
ES,NAT,59021796,2015
ES,NAT,55185879,2014
ES,NAT,51874205,2013
ES,NAT,52308531,2012
ES,NAT,55430798,2011
ES,NAT,55617853,2010
ES,NAT,54470376,2009
ES,NAT,56429185,2008
ES,NAT,57828280,2007
ES,NAT,56747094,2006
ES,NAT,50151920,2005
ES,NAT,47437441,2004
ES,NAT,43253850,2003
ES,NAT,40091048,2002
ES,NAT,38688299,2001
ES,NAT,37521445,2000
ES,NAT,35275164,1999
ES,NAT,28510349,1998
ES,NAT,25986819,1997
ES,NAT,24843273,1996
ES,NAT,24098035,1995
ES,NAT,22854428,1994
ES,NAT,22015315,1993
ES,NAT,21144168,1992
ES,NAT,23187876,1991
ES,NAT,22388247,1990
EL,TOTAL,34202053,2019
EL,TOTAL,33585639,2018
EL,TOTAL,27211268,2017
EL,TOTAL,24996038,2016
EL,TOTAL,24166974,2015
EL,TOTAL,22674051,2014
EL,TOTAL,20115254,2013
EL,TOTAL,18212022,2012
EL,TOTAL,20315597,2011
EL,TOTAL,19856896,2010
EL,TOTAL,20150866,2009
EL,TOTAL,16013569,2008
EL,TOTAL,16037592,2007
EL,TOTAL,13982021,2006
EL,TOTAL,13412596,2005
EL,TOTAL,12131583,2004
EL,TOTAL,12499809,2003
EL,TOTAL,12392044,2002
EL,TOTAL,12843361,2001
EL,TOTAL,13976386,2000
EL,TOTAL,13121966,1999
EL,TOTAL,13172856,1998
EL,TOTAL,12528883,1997
EL,TOTAL,11017974,1996
EL,TOTAL,11288771,1995
EL,TOTAL,11651171,1994
EL,TOTAL,0,1993
EL,TOTAL,0,1992
EL,TOTAL,0,1991
EL,TOTAL,0,1990
ES,TOTAL,135008823,2019
ES,TOTAL,130803657,2018
ES,TOTAL,129392382,2017
ES,TOTAL,123541778,2016
ES,TOTAL,114448411,2015
ES,TOTAL,107545009,2014
ES,TOTAL,101673090,2013
ES,TOTAL,100409178,2012
ES,TOTAL,103083343,2011
ES,TOTAL,98800631,2010
ES,TOTAL,93674522,2009
ES,TOTAL,100147418,2008
ES,TOTAL,101781393,2007
ES,TOTAL,99890611,2006
ES,TOTAL,87559070,2005
ES,TOTAL,83734765,2004
ES,TOTAL,79897616,2003
ES,TOTAL,76128824,2002
ES,TOTAL,74941665,2001
ES,TOTAL,74408937,2000
ES,TOTAL,63787789,1999
ES,TOTAL,50149544,1998
ES,TOTAL,45521415,1997
ES,TOTAL,42977619,1996
ES,TOTAL,41549956,1995
ES,TOTAL,39280513,1994
ES,TOTAL,35964398,1993
ES,TOTAL,34375158,1992
ES,TOTAL,35971016,1991
ES,TOTAL,35325699,1990
